119	1
118	1
127	5
126	5
109	7
108	7
59	9
58	9
128	5
67	7
121	1
110	7
111	7
103	7
120	1
60	9
68	8
81	7
112	7
82	8
132	8
131	8
135	8
134	8
138	8
137	8
116	7
115	7
69	8
83	8
133	8
136	8
104	7
122	1
139	8
113	8
42	3
41	3
80	3
114	8
70	8
84	8
141	9
140	9
156	7
155	7
129	1
130	1
30	3
29	3
100	3
146	1
145	1
32	3
31	3
125	3
123	1
1	3
0	3
107	7
117	7
105	7
151	5
150	5
33	3
38	3
124	1
2	3
18	3
71	8
106	7
85	8
157	7
147	1
101	8
152	5
142	9
34	0
9	3
36	3
72	5
93	1
49	0
48	0
54	0
53	0
86	7
79	7
3	0
16	3
94	1
61	9
73	5
55	0
10	0
46	0
45	0
87	7
50	0
47	0
74	5
88	7
11	0
95	1
62	9
5	2
4	0
35	0
64	2
76	2
90	2
97	2
75	5
63	9
89	7
12	0
96	1
19	3
24	3
39	3
20	3
57	0
173	0
52	0
171	0
13	0
6	0
21	3
25	3
28	2
27	2
168	2
170	2
172	2
174	2
176	2
178	2
180	2
182	6
154	2
179	2
149	2
177	2
44	3
169	3
159	2
181	2
161	4
160	4
166	6
183	6
144	2
175	2
56	0
158	2
165	6
51	0
148	2
153	2
26	3
43	3
65	2
143	2
7	0
22	3
77	2
14	0
162	4
164	4
91	2
98	2
102	8
99	2
17	3
37	3
15	0
66	2
40	3
92	2
23	3
167	6
20184	4
20186	4
78	2
20185	4
8	0
20187	4
