195	0
196	0
192	0
193	0
211	0
4	0
7	0
97	0
6	0
96	0
200	0
201	0
202	0
203	0
204	0
205	0
206	0
207	0
114	0
168	0
181	0
187	0
72	0
108	0
182	0
17	0
106	0
169	0
115	0
116	0
49	0
110	0
188	0
170	3
171	3
177	0
117	3
143	3
186	0
154	0
183	0
118	3
136	3
172	3
137	3
157	0
184	0
144	3
148	3
119	3
27	0
109	0
185	0
138	3
39	0
105	0
158	0
120	3
149	3
159	0
161	0
139	3
167	0
121	3
162	0
173	3
140	3
150	3
174	3
178	0
122	3
163	0
141	3
151	3
142	3
123	3
164	0
62	0
107	0
179	0
175	3
152	3
8	0
53	0
180	0
165	0
176	3
153	3
124	3
145	6
125	3
54	0
76	0
160	0
166	0
133	3
126	3
130	3
146	6
147	6
77	6
98	0
127	3
78	6
87	6
9	0
31	0
99	0
128	3
129	3
55	3
10	0
32	0
134	3
135	3
100	0
131	3
132	3
79	6
43	4
80	6
33	0
56	3
66	3
11	7
21	5
101	0
88	6
67	3
57	1
102	0
22	5
34	2
81	6
44	4
12	7
103	0
111	0
113	0
45	4
58	1
89	6
68	3
13	7
23	5
82	6
84	6
86	6
35	2
36	2
14	7
46	4
24	5
69	3
85	6
59	1
90	6
112	0
70	3
73	3
75	3
60	1
63	1
65	1
47	4
50	4
52	4
37	2
40	2
42	2
25	5
28	5
30	5
15	7
18	7
20	7
91	6
93	6
95	6
104	0
94	6
0	0
83	6
74	3
51	4
155	0
41	2
29	5
19	7
64	1
1	0
198	0
199	0
5	0
2	0
194	0
16	7
26	5
38	2
48	4
61	1
1208	0
71	3
92	0
197	0
20209	0
20210	0
212	0
